timeframe,lookback_fast,lookback_slow,top_n,vol_window,target_vol_ann,regime_threshold,breadth_threshold,gross_cap,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_active_ratio,train_monthly_hit,train_score
1d,5,10,1,5,0.8,0.05,0.5,1.5,0.0004,-0.09831121741321602,-3.066873454152151,-0.09831121741321602,0.043010752688172046,0.0,-29.417450784924394
1d,3,14,2,5,0.8,0.0,0.5,1.5,0.0004,-0.15786783698552753,-1.9602419963411937,-0.2231829552850384,0.22580645161290322,0.25,-29.728000861633834
1d,3,14,2,5,0.6,0.0,0.5,1.5,0.0004,-0.15754819243413654,-2.047232735521752,-0.21423639368537128,0.22580645161290322,0.25,-29.72839483041251
1d,7,10,1,5,0.6,0.02,0.5,1.5,0.0004,-0.13493051435408387,-1.7694466002548692,-0.17807867400733812,0.13978494623655913,0.0,-29.794684982066716
1d,5,14,2,5,0.6,0.0,0.5,1.5,0.0004,-0.13082981877664523,-2.7647134341423207,-0.19306669093733175,0.1827956989247312,0.25,-29.863367344857135
1d,5,14,1,5,1.0,0.0,0.5,1.5,0.0004,-0.1423729415106525,-2.3128602709871235,-0.21774293879761497,0.1827956989247312,0.25,-29.868844956194614
1d,5,10,1,10,0.8,0.05,0.5,1.5,0.0004,-0.09324473012731116,-3.322872458442177,-0.09324473012731116,0.043010752688172046,0.0,-29.962805149918314
1d,5,14,2,5,1.0,0.0,0.5,1.5,0.0004,-0.14053688251447316,-2.523885803738035,-0.21212721869292384,0.1827956989247312,0.25,-30.48765931562014
1d,5,14,1,5,0.8,0.0,0.5,1.5,0.0004,-0.141406321169245,-2.651248278444596,-0.20536405643544664,0.1827956989247312,0.25,-30.90707325304366
1d,5,10,1,5,1.0,0.05,0.5,1.5,0.0004,-0.11058444073880525,-3.0164808162871735,-0.11058444073880525,0.043010752688172046,0.0,-30.94510497780994
1d,3,10,2,5,0.8,0.05,0.5,1.5,0.0004,-0.09508335947222235,-3.487073906881874,-0.09508335947222235,0.03225806451612903,0.0,-31.093424399817096
1d,3,10,2,10,0.6,0.02,0.5,1.5,0.0004,-0.12124160575308929,-2.5449798409403517,-0.14801700964858988,0.0967741935483871,0.0,-31.122728440003684
1d,5,14,1,10,1.0,0.0,0.5,1.5,0.0004,-0.14884529105753053,-2.375898664613619,-0.2251320591985303,0.1827956989247312,0.25,-31.16378229705609
1d,7,10,1,5,0.8,0.02,0.5,1.5,0.0004,-0.14830098732208585,-1.790933771340906,-0.18681960760866356,0.13978494623655913,0.0,-31.63251014635674
1d,3,10,2,10,0.6,0.05,0.5,1.5,0.0004,-0.09947082278344588,-3.4745335625570504,-0.09947082278344588,0.03225806451612903,0.0,-31.66690485832039
1d,5,10,1,10,1.0,0.05,0.5,1.5,0.0004,-0.10988793906520233,-3.2057010982285727,-0.10988793906520233,0.043010752688172046,0.0,-31.790213644844513
1d,3,10,2,5,0.8,0.02,0.5,1.5,0.0004,-0.12804191824424238,-2.5096906752750634,-0.15722135443530771,0.0967741935483871,0.0,-32.040509376194855
1d,5,10,2,5,0.6,0.05,0.5,1.5,0.0004,-0.10234817869677926,-3.4982852521388677,-0.10234817869677926,0.043010752688172046,0.0,-32.159869160974644
1d,5,14,2,10,0.8,0.0,0.5,1.5,0.0004,-0.14974249178505694,-2.6059971905438277,-0.22150199589344566,0.1827956989247312,0.25,-32.240642150730956
1d,3,14,2,5,1.0,0.0,0.5,1.5,0.0004,-0.1719865024646834,-2.1093412402234892,-0.23620658800508254,0.22580645161290322,0.25,-32.471427101362885
1d,7,10,1,5,1.0,0.02,0.5,1.5,0.0004,-0.15582663070060299,-1.7998069725338424,-0.18985741392185917,0.13978494623655913,0.0,-32.56614177426694
1d,3,14,1,10,0.8,0.0,0.5,1.5,0.0004,-0.17833426911427241,-1.977404295359687,-0.24362500745161186,0.22580645161290322,0.25,-32.78034791709659
1d,7,10,1,10,0.6,0.02,0.5,1.5,0.0004,-0.14428619811766552,-2.30944958431214,-0.16495278226526422,0.13978494623655913,0.0,-32.8396031503179
1d,5,14,2,10,1.0,0.0,0.5,1.5,0.0004,-0.15357859127895368,-2.6180096389677354,-0.2250143386492569,0.1827956989247312,0.25,-32.84236976625168
1d,3,10,2,5,0.6,0.02,0.5,1.5,0.0004,-0.12645416461325532,-2.791633468852851,-0.15014034758279737,0.0967741935483871,0.0,-32.972802672622116
1d,3,10,2,5,1.0,0.02,0.5,1.5,0.0004,-0.13682613521352638,-2.4707859072611016,-0.16571161404138046,0.0967741935483871,0.0,-33.106468915326715
1d,3,10,2,5,1.0,0.05,0.5,1.5,0.0004,-0.11071589256183045,-3.4522503258319412,-0.11071589256183045,0.03225806451612903,0.0,-33.186023792560604
1d,3,14,1,10,1.0,0.0,0.5,1.5,0.0004,-0.18439571508362784,-1.83691903905111,-0.2566183590072991,0.22580645161290322,0.25,-33.26876705249518
1d,5,10,2,5,0.8,0.05,0.5,1.5,0.0004,-0.10917943069440394,-3.5749465919549275,-0.10917943069440394,0.043010752688172046,0.0,-33.53370739971052
1d,3,14,2,10,0.6,0.0,0.5,1.5,0.0004,-0.17177237125732758,-2.3615987116117423,-0.23277704371011587,0.22580645161290322,0.25,-33.55697184429507
1d,5,10,2,10,0.6,0.05,0.5,1.5,0.0004,-0.10819075455441207,-3.6146449499315794,-0.10819075455441207,0.043010752688172046,0.0,-33.58884114929496
1d,3,10,2,10,0.8,0.05,0.5,1.5,0.0004,-0.12098773520046768,-3.428526532577691,-0.12098773520046768,0.03225806451612903,0.0,-34.55682200889175
1d,5,10,2,5,1.0,0.05,0.5,1.5,0.0004,-0.11585689774211172,-3.604766801172789,-0.11585689774211172,0.043010752688172046,0.0,-34.65104116771746
1d,3,10,2,10,0.8,0.02,0.5,1.5,0.0004,-0.1466619932501132,-2.5501520443127,-0.17539787773883142,0.0967741935483871,0.0,-34.92276727062868
1d,7,10,1,10,0.8,0.02,0.5,1.5,0.0004,-0.16080617284073018,-2.2143204794246314,-0.18700205203012787,0.13978494623655913,0.0,-35.00817223760569
1d,3,14,2,10,0.8,0.0,0.5,1.5,0.0004,-0.18550091321601403,-2.2561267769287716,-0.24939977401567304,0.22580645161290322,0.25,-35.150489230498934
1d,3,10,2,10,1.0,0.05,0.5,1.5,0.0004,-0.12703532303490783,-3.4154882645615228,-0.12703532303490783,0.03225806451612903,0.0,-35.36853090480473
1d,5,10,2,10,0.8,0.05,0.5,1.5,0.0004,-0.1236710527221121,-3.5704151554456596,-0.1236710527221121,0.043010752688172046,0.0,-35.61233541118186
1d,5,10,2,10,1.0,0.05,0.5,1.5,0.0004,-0.12656068727475733,-3.5754754789611973,-0.12656068727475733,0.043010752688172046,0.0,-36.056634038893115
1d,7,10,2,5,0.6,0.02,0.5,1.5,0.0004,-0.1669213407660337,-2.2194301647543093,-0.20377818175857465,0.13978494623655913,0.0,-36.400163294564535
1d,3,10,2,10,1.0,0.02,0.5,1.5,0.0004,-0.15527498304413612,-2.6282219129000652,-0.18372082785588495,0.0967741935483871,0.0,-36.54894834823521
1d,3,14,2,10,1.0,0.0,0.5,1.5,0.0004,-0.19325693866701654,-2.319272855379031,-0.25654732586775575,0.22580645161290322,0.25,-36.5634620011942
1d,7,10,1,10,1.0,0.02,0.5,1.5,0.0004,-0.17450825764064537,-2.151505506134018,-0.20311002704841552,0.13978494623655913,0.0,-36.78916472696709
1d,7,10,2,5,0.8,0.02,0.5,1.5,0.0004,-0.17309411774948258,-2.189204939880394,-0.21059609899707,0.13978494623655913,0.0,-37.17312114427214
1d,7,10,2,10,0.6,0.02,0.5,1.5,0.0004,-0.17236565468813747,-2.372484356907384,-0.19901905840448253,0.13978494623655913,0.0,-37.495705096606144
1d,5,14,1,10,0.6,0.02,0.5,1.5,0.0004,-0.12217291860351875,-4.275876486371408,-0.12217291860351875,0.08602150537634409,0.0,-38.750369607861884
1d,7,10,2,5,1.0,0.02,0.5,1.5,0.0004,-0.18448198616040512,-2.2886429546977483,-0.22146750279362315,0.13978494623655913,0.0,-39.29831123029605
1d,5,14,1,5,0.6,0.02,0.5,1.5,0.0004,-0.13264940655316448,-4.23599519919425,-0.13264940655316448,0.08602150537634409,0.0,-40.070053924674724
1d,7,10,2,10,0.8,0.02,0.5,1.5,0.0004,-0.19158219599096415,-2.3670143435836026,-0.2214993281377089,0.13978494623655913,0.0,-40.40162129826509
1d,7,10,2,10,1.0,0.02,0.5,1.5,0.0004,-0.19342192645507128,-2.3629096433861463,-0.22501578598146044,0.13978494623655913,0.0,-40.72331144665734
1d,5,14,2,5,0.6,0.02,0.5,1.5,0.0004,-0.1440306246181291,-4.258748111423696,-0.1440306246181291,0.08602150537634409,0.0,-41.83409510524182
1d,3,10,1,10,0.6,0.0,0.5,1.5,0.0004,-0.2004527188447568,-2.6908283799209376,-0.21999464896325482,0.24731182795698925,0.0,-42.40992567559888
1d,5,14,2,10,0.6,0.02,0.5,1.5,0.0004,-0.14950926576775814,-4.235298294761249,-0.14950926576775814,0.08602150537634409,0.0,-42.51124898862581
